year,name,amount
2009,四川,0
2009,湖北,10
2009,甘肃,12
2009,江西,19
2009,广西壮族自治区,0
2009,黑龙江,0
2009,上海,130
2009,吉林,0
2009,河北,2
2009,天津,0
2009,山西,0
2009,北京,0
2009,辽宁,0
2009,山东,87
2009,福建,21
2009,内蒙古自治区,0
2009,宁夏回族自治区,0
2009,贵州,0
2009,青海,0
2009,海南,0
2009,陕西,40
2009,江苏,0
2009,安徽,12
2009,湖南,684
2009,新疆维吾尔族自治区,0
2009,重庆,29
2009,河南,371
2009,广东,7
2009,云南,0
2009,浙江,58
2010,四川,3
2010,湖北,31
2010,甘肃,57
2010,江西,19
2010,广西壮族自治区,14
2010,黑龙江,0
2010,上海,232
2010,吉林,0
2010,河北,14
2010,天津,0
2010,山西,0
2010,北京,0
2010,辽宁,6
2010,山东,43
2010,福建,180
2010,内蒙古自治区,0
2010,宁夏回族自治区,0
2010,贵州,0
2010,青海,0
2010,海南,0
2010,陕西,83
2010,江苏,0
2010,安徽,49
2010,湖南,864
2010,新疆维吾尔族自治区,0
2010,重庆,20
2010,河南,574
2010,广东,4
2010,云南,0
2010,浙江,1416
2011,四川,0
2011,湖北,40
2011,甘肃,149
2011,江西,0
2011,广西壮族自治区,0
2011,黑龙江,0
2011,上海,411
2011,吉林,0
2011,河北,62
2011,天津,0
2011,山西,0
2011,北京,0
2011,辽宁,34
2011,山东,87
2011,福建,193
2011,内蒙古自治区,0
2011,宁夏回族自治区,0
2011,贵州,0
2011,青海,0
2011,海南,0
2011,陕西,481
2011,江苏,20
2011,安徽,209
2011,湖南,4093
2011,新疆维吾尔族自治区,0
2011,重庆,132
2011,河南,873
2011,广东,32
2011,云南,0
2011,浙江,563
2012,四川,90
2012,湖北,77
2012,甘肃,415
2012,江西,26
2012,广西壮族自治区,225
2012,黑龙江,0
2012,上海,490
2012,吉林,42
2012,河北,445
2012,天津,4
2012,山西,40
2012,北京,13
2012,辽宁,8
2012,山东,296
2012,福建,180
2012,内蒙古自治区,10
2012,宁夏回族自治区,0
2012,贵州,3
2012,青海,3
2012,海南,6
2012,陕西,771
2012,江苏,64
2012,安徽,713
2012,湖南,5014
2012,新疆维吾尔族自治区,1
2012,重庆,234
2012,河南,980
2012,广东,93
2012,云南,3
2012,浙江,775
2013,四川,596
2013,湖北,176
2013,甘肃,650
2013,江西,59
2013,广西壮族自治区,604
2013,黑龙江,17
2013,上海,829
2013,吉林,143
2013,河北,1101
2013,天津,50
2013,山西,138
2013,北京,248
2013,辽宁,321
2013,山东,1724
2013,福建,1035
2013,内蒙古自治区,141
2013,宁夏回族自治区,80
2013,贵州,35
2013,青海,40
2013,海南,24
2013,陕西,1328
2013,江苏,905
2013,安徽,2348
2013,湖南,7726
2013,新疆维吾尔族自治区,5
2013,重庆,343
2013,河南,1671
2013,广东,374
2013,云南,29
2013,浙江,1669
2014,四川,2869
2014,湖北,2326
2014,甘肃,1953
