"","data","Freq"
"1","阿比",1
"2","艾锦球",1
"3","艾某",5
"4","爱华",1
"5","爱情",1
"6","安炳京",2
"7","安定",2
"8","安定团结",2
"9","安国",1
"10","安徽省",3
"11","安某",14
"12","安心",1
"13","安业",1
"14","安置",1
"15","按本",4
"16","按揭",2
"17","按照",2
"18","案二审",2
"19","案件",1987
"20","案经",10
"21","八年",1
"22","八条",12
"23","八元",1
"24","巴萨",1
"25","坝子",1
"26","白某",11
"27","白塔区",1
"28","白雪",1
"29","百八十",1
"30","百分之五十",1
"31","百零",1
"32","百三",5
"33","百条",22
"34","柏某",2
"35","班应",1
"36","颁发",1
"37","搬出",1
"38","搬离",1
"39","办公",1
"40","办理",19
"41","办事处",1
"42","绑架",1
"43","包某",9
"44","包容",1
"45","宝贵",1
"46","宝山区",1
"47","宝兴",1
"48","宝珍",1
"49","保护",64
"50","保护法",1
"51","保全",10
"52","保全费",2
"53","保障",3
"54","保障法",33
"55","鲍海友",2
"56","鲍某",1
"57","鲍泽轩",1
"58","暴力",4
"59","暴力行为",4
"60","暴躁",1
"61","北碚区",1
"62","北城",1
"63","北栋",1
"64","北斗星",1
"65","北京市",10
"66","北京市西城区人民法院",4
"67","倍加",1
"68","被告",2305
"69","被告方",8
"70","被告人",79
"71","被上诉人",3
"72","被申请人",427
"73","奔驰",1
"74","本案",279
"75","本溪市",2
"76","本院",303
"77","本院认为",15
"78","毕玲",1
"79","毕玲犯",1
"80","毕某",7
"81","边秀娟",2
"82","变更",6
"83","便于",1
"84","标准",2
"85","表达",2
"86","表姐",1
"87","表示",2
"88","表现",6
"89","冰箱",3
"90","并报",4
"91","并非",1
"92","并经",2
"93","并未",5
"94","并育",1
"95","剥夺",6
"96","驳回",939
"97","驳回上诉",149
"98","补偿",2
"99","补偿费",1
"100","补偿款",3
"101","补充规定",1
"102","补助款",2
"103","不成",4
"104","不辞而别",1
"105","不到",1
"106","不得",1
"107","不动产",2
"108","不二",2
"109","不服",5
"110","不浪村",1
"111","不利",1
"112","不能",6
"113","不受",6
"114","不应",1
"115","不予",415
"116","不再",1
"117","不长",1
"118","不准",426
"119","不足",1
"120","不足以",2
"121","部分",2
"122","部门",1
"123","材料",2
"124","财产",23
"125","裁定",538
"126","裁定书",1
"127","裁判",2
"128","彩虹",1
"129","彩礼",20
"130","蔡昌苗",2
"131","蔡红",2
"132","蔡娟",1
"133","蔡娟恩",1
"134","蔡某",27
"135","蔡文进",1
"136","蔡宗",1
"137","参加",2
"138","参考",1
"139","参照",6
"140","残害",1
"141","操某",2
"142","曹秉楷",1
"143","曹桂英",2
"144","曹建芳",1
"145","曹某",32
"146","曹普茸",1
"147","曹云锋",1
"148","草率",1
"149","岑某",1
"150","曾碧兰",2
"151","曾文彪",1
"152","曾用名",1
"153","查封",4
"154","查明",3
"155","柴红娟",1
"156","柴继霞",1
"157","柴某",8
"158","柴延红",1
"159","禅及",1
"160","产生矛盾",2
"161","昌平区",1
"162","常某",6
"163","常曦",1
"164","常言道",1
"165","常燕",2
"166","偿付",1
"167","偿还",6
"168","场所",2
"169","超犯",1
"170","超华",1
"171","朝阳区",1
"172","车牌号",2
"173","车秀云",2
