"","data","Freq"
"2679","中华人民共和国",6113
"707","规定",3967
"2494","原告",3857
"2349","依照",3676
"1630","如下",3618
"1475","判决",3324
"869","婚姻法",3271
"362","第三十二条",2712
"68","被告",2305
"1074","离婚",2068
"19","案件",1987
"1792","受理费",1914
"1330","民事",1912
"1842","诉讼法",1864
"925","减半",1145
"1787","收取",1090
"2766","最高人民法院",1075
"690","关于",1067
"425","第一款",1059
"1388","某某",1051
"1845","诉讼请求",1042
"96","驳回",939
"1029","据此",864
"601","负担",836
"346","第六十四",793
"2314","一百四十四",716
"1640","若干",693
"2732","准予",682
"1784","适用",653
"914","家庭暴力",652
"979","解释",640
"2295","要求",619
"2759","综上所述",574
"125","裁定",538
"2758","综上",523
"314","第二款",516
"2348","依据",493
"2070","问题",457
"993","禁止",442
"72","被申请人",427
"118","不准",426
"115","不予",415
"323","第二十七条",409
"1706","申请人",381
"645","根据",373
"321","第二十六条",369
"2653","支持",358
"1102","李某",353
"1988","王某",353
"2567","张某",329
"316","第二十八条",322
"2731","准许",313
"366","第三十六条",311
"76","本院",303
"368","第三十七条",302
"74","本案",279
"319","第二十九条",279
"1200","刘某",277
"329","第二条",249
"331","第九",241
"1757","十条",232
"2630","证据",222
"1335","民事诉讼",221
"359","第三款",212
"364","第三十九条",210
"419","第一百七十条",206
"386","第十条",203
"1597","人民法院",197
"1596","人民币",188
"1718","审理",188
"1771","实施",182
"413","第一百",176
"374","第三条",173
"190","陈某",171
"427","第一项",169
"1661","骚扰",167
"2272","杨某",162
"97","驳回上诉",149
"591","抚养",147
"1703","申请",146
"647","跟踪",141
"1820","四十二条",141
"361","第三十八条",130
"2035","维持原判",128
"1276","马某",127
"220","承担",122
"1727","生效",116
"2610","赵某",113
"966","接触",104
"492","二审",99
"311","第二百",96
"885","及其",95
"2036","维护",94
"235","处理",93
"1028","具体意见",93
"1468","殴打",92
"2213","徐某",92
"2694","周某",89
"2020","威胁",86
"2740","子女",86
"328","第二十一条",83
"2189","刑法",80
"70","被告人",79
"1722","生活",78
"1858","孙某",76
"848","黄某",75
"2084","吴某",75
"383","第十七条",72
"1801","双方",72
"2707","朱某",69
"2651","之日起",67
"49","保护",64
"865","婚生子",63
"1523","其他",62
"344","第六十七条",61
"871","婚姻家庭",58
"577","夫妻",56
"393","第四十六",55
"420","第一百三十四条",54
"1823","四条",54
"327","第二十五条",53
"716","郭某",53
"2067","稳定",53
"1682","上诉人",52
"2195","刑事诉讼法",52
"399","第四十一条",51
"817","胡某",50
"378","第十八条",48
"412","第一",47
"2029","为了",47
"309","第八条",46
"578","夫妻感情",46
"624","高某",46
"991","近亲属",46
"1574","权益",46
"286","当事人",45
"1694","社会",45
"689","关系",44
"1474","判处",44
"1504","破裂",43
"1753","十日",43
"1327","民法",42
"2149","相关",42
"2760","总则",42
"527","返还",41
"745","韩某",40
"771","合同法",40
"776","何某",40
"1453","女儿",40
"1931","调解",40
"356","第七条",39
"674","共同",39
"1785","适用法律",39
"313","第二百三十六条",38
"518","法律",38
"767","合法权益",37
"2077","无效",37
"1487","彭某",36
"1913","提出",36
"2359","以及",36
"426","第一条",35
"1937","同居",35
"371","第三十条",34
"1250","罗某",34
"1514","七条",34
"1920","田某",34
"2441","有期徒刑",34
"2639","郑某",34
"54","保障法",33
"400","第四条",33
"583","符合",33
"863","婚生",33
"2316","一百一十",33
"145","曹某",32
"326","第二十条",32
"2292","姚某",32
"2659","执行",32
"330","第二项",31
"373","第三十一条",31
"410","第五条",31
"423","第一百五十四条",31
"472","儿子",31
"1652","三十二条",31
"2469","预交",31
"984","金某",30
"1609","认定",30
"603","妇女",29
"1378","某甲",29
"1633","辱骂",29
"358","第三",28
"375","第三项",28
"913","家庭",28
"971","结婚登记",28
"975","解除",28
"1018","九条",28
"1346","名义",28
"1628","如何",28
"2222","许某",28
"134","蔡某",27
"324","第二十三条",27
"338","第九条",27
"395","第四十三条",27
"448","董某",27
"479","二百三十",27
"867","婚姻",27
"1559","请求",27
"2034","维持",27
"2051","魏某",27
"2337","一条",27
"254","崔某",26
"1163","林某",26
"1714","沈某",26
"1827","宋某",26
"2105","物权法",26
"380","第十九条",25
"643","给付",25
"870","婚姻关系",25
"1326","民初",25
"1471","潘某",25
"1528","起诉",25
"1556","情节",25
"1587","确已",25
"1600","人身安全",25
"2346","依法",25
"2444","于本",25
"177","撤销",24
"459","杜某",24
"570","冯某",24
"1641","若干意见",24
"1765","石某",24
"2028","为此",24
"124","财产",23
"225","程度",23
"303","邓某",23
"592","抚养费",23
"732","孩子",23
"1334","民事判决",23
"2014","危害",23
"2048","位于",23
"2489","袁某",23
"33","百条",22
"437","丁某",22
"598","付某",22
"927","简易程序",22
"1583","缺席判决",22
"2128","夏某",22
"2352","移送",22
"421","第一百五十",21
"528","犯罪",21
"1003","经审查",21
"1259","吕某",21
"1545","侵权",21
"1612","认为",21
"2162","肖某",21
"129","彩礼",20
"226","程某",20
"486","二款",20
"549","房屋",20
"607","复议",20
"684","故意杀人罪",20
"1875","所生",20
"2177","谢某",20
"2191","刑期",20
"2433","由原",20
"40","办理",19
"381","第十六条",19
"391","第四十二条",19
"534","范某",19
"1310","每月",19
"1421","男孩",19
"418","第一百七",18
"766","合法",18
"945","姜某",18
"1328","民法通则",18
"1563","邱某",18
"2041","未办",18
"2200","性质",18
"2518","再审",18
"2528","责任法",18
"2654","支付",18
"411","第五项",17
"753","行政诉讼法",17
"783","和谐",17
"1017","九十五条",17
"1511","七十二条",17
"1779","事实",17
"1869","损害赔偿",17
"2454","余某",17
"334","第九十二",16
"350","第六条",16
"370","第三十四条",16
"384","第十三条",16
"508","发出",16
"655","公告费",16
"1456","女孩",16
"1833","苏某",16
"1843","诉讼费",16
"1877","所有",16
"1925","条件",16
"2384","尹某",16
"2462","予以",16
"77","本院认为",15
"317","第二十二条",15
"342","第六十九条",15
"387","第十五条",15
"394","第四十七条",15
"642","各自",15
"685","故意伤害罪",15
"688","顾某",15
"758","郝某",15
"953","交纳",15
"1146","梁某",15
"1234","卢某",15
"1599","人身",15
"1680","上述",15
"1699","涉及",15
"1898","唐某",15
"1968","汪某",15
"2308","一百零三",15
"11","安某",14
"355","第七十三",14
"530","犯罪事实",14
"894","计算",14
"1053","恐吓",14
"1516","期间",14
"2252","严某",14
"2379","殷某",14
"2427","由王",14
"2438","有关",14
"2761","邹某",14
"354","第七十六条",13
"388","第十一条",13
"751","行为",13
"883","羁押",13
"1577","全部",13
"1732","生长",13
"2250","闫某",13
"2306","一百零二",13
"2535","债务纠纷",13
"22","八条",12
"475","二百零六",12
"634","葛某",12
"638","各半",12
"905","继承法",12
"949","蒋某",12
"1316","孟某",12
"1345","名下",12
"1547","亲属",12
"1676","上海市",12
"1681","上诉",12
"1697","社会主义",12
"1888","谭某",12
"2096","五条",12
"2197","形式",12
"2234","薛某",12
"2776","坐落于",12
"26","白某",11
"211","成立",11
"347","第六十条",11
"349","第六十一条",11
"484","二百一十",11
"675","共同财产",11
"769","合计",11
"772","合议庭",11
"838","缓刑",11
"1008","精神",11
"1050","孔某",11
"1297","毛某",11
"1411","某于",11
"1463","女王",11
"1467","欧某",11
"1502","评议",11
"1541","乔某",11
"1551","秦某",11
"1598","人民共和国",11
"1617","任某",11
"1655","三十七",11
"1731","生育",11
"1733","生之子",11
"1959","挽救",11
"2042","未办理",11
"2329","一年",11
"2470","预缴",11
"20","案经",10
"51","保全",10
"65","北京市",10
"297","登记",10
"401","第四项",10
"465","对于",10
"920","贾某",10
"992","靳某",10
"1323","苗某",10
"1659","三条",10
